"@song-title","@song-title-eng","@genre-name","@normal-level","@normal-constant","@normal-included-newer","@hard-level","@hard-constant","@hard-included-newer","@expert-level","@expert-constant","@expert-included-newer","@inferno-level","@inferno-constant","@inferno-included-newer"
"Jingle","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9+",9.7,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"BATTLE NO.1","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10",10.5,false,"EXPERT 13+",13.7,false,"INFERNO 14",14.1,true
"LEVATEiN feat. 野宮あゆみ","LEVATEiN feat. Nomiya Ayumi","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.1,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"BIG HEAD BANGING","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 11",11.0,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"Knight Rider","","HARDCORE TANO*C","NORMAL 6",6.0,false,"HARD 10+",10.9,false,"EXPERT 13",13.3,false,"INFERNO 0",0.0,
"PARALLEL★PRISM","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7+",7.7,false,"EXPERT 10+",10.8,false,"INFERNO 0",0.0,
"Rainbow Dream","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8+",8.7,false,"EXPERT 11",11.4,false,"INFERNO 0",0.0,
"Quon","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.6,false,"EXPERT 12+",12.8,false,"INFERNO 13+",13.9,false
"Poseidon","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 9+",9.9,false,"EXPERT 13+",13.8,false,"INFERNO 0",0.0,
"HELL FLAME","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10",10.4,false,"EXPERT 12+",12.7,false,"INFERNO 13+",13.9,true
"Gate One","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.5,false,"EXPERT 12",12.0,false,"INFERNO 0",0.0,
"Over My Hand","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 9",9.2,false,"EXPERT 11",11.1,false,"INFERNO 0",0.0,
"Are You Ready","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.1,false,"EXPERT 12",12.5,false,"INFERNO 0",0.0,
"MEMORiZE","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.1,false,"EXPERT 10",10.0,false,"INFERNO 0",0.0,
"illanai-assorted","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.9,false,"EXPERT 12+",12.9,false,"INFERNO 0",0.0,
"Sunshine","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8",8.2,false,"EXPERT 11",11.3,false,"INFERNO 0",0.0,
"BOOM! BOOM!! BOOM!!!","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10",10.6,false,"EXPERT 12",12.3,false,"INFERNO 0",0.0,
"Ever Free(Raw Edit)","","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 8",8.3,false,"EXPERT 10",10.1,false,"INFERNO 0",0.0,
"Try again","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 10",10.6,false,"INFERNO 0",0.0,
"BLUE SKY feat. 野宮あゆみ","BLUE SKY feat. Nomiya Ayumi","HARDCORE TANO*C","NORMAL 3",3.0,false,"HARD 7",7.6,false,"EXPERT 10",10.4,false,"INFERNO 0",0.0,
"Sound Chimera","","HARDCORE TANO*C","NORMAL 5",5.0,false,"HARD 10+",10.8,false,"EXPERT 12+",12.8,false,"INFERNO 13+",13.9,false
"Soldiers","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 8+",8.8,false,"EXPERT 11+",11.9,false,"INFERNO 0",0.0,
"Fight for the CORE feat. Daisuke","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 10+",10.7,false,"EXPERT 12",12.6,false,"INFERNO 0",0.0,
"Shining Harmony","","HARDCORE TANO*C","NORMAL 4",4.0,false,"HARD 9",9.6,false,"EXPERT 12",12.2,false,"INFERNO 0",0.0,
